race,fighter,rogue,wizard,barbarian,cleric,ranger,paladin,warlock,monk,bard,sorcerer,druid
human,0.19360716124688082,0.10068522992830832,0.1017150552540896,0.056838436249851465,0.09264467065393908,0.06792886283518834,0.09212975799104844,0.06788925416881214,0.07707846476809126,0.05759100091099933,0.052441874282092925,0.0394502317106983
elf,0.0755336617405583,0.13726205680228667,0.1668795232013623,0.020434227330779056,0.05601167670133187,0.18707048592106063,0.029921547162926474,0.045916195341482696,0.0820409900869671,0.03959131545338442,0.05114638447971781,0.10819193577814268
dwarf,0.2113179762280425,0.0380772062690649,0.04154833280740507,0.13916061849163774,0.23130325023666773,0.043652045860944566,0.10213526874934259,0.03008309666561481,0.042600189334174816,0.0414431471547281,0.027769012306721363,0.05090985589565583
halfling,0.057321609739600946,0.30385525870815017,0.04345620561379777,0.051741630030436254,0.05207981061887048,0.07439972945552925,0.035001690902942174,0.050050727088265135,0.09316875211362868,0.13544132566790668,0.0524179912073047,0.051065268853567804
dragonborn,0.16308331297336917,0.039701930124602984,0.04226728560957733,0.1068898118739311,0.06230149034937699,0.043366723674566336,0.20620571707793794,0.07134131443928658,0.05582702174444173,0.04532128023454679,0.12594673833374054,0.03774737356462252
gnome,0.05547161666306929,0.12950571983595943,0.29354629829484136,0.048996330671271314,0.06561623138355277,0.05137060220159724,0.03259227282538312,0.06712713144830564,0.042305201813080076,0.08633714655730629,0.05547161666306929,0.07165983164256422
half-elf,0.06180044006505309,0.12675786855448196,0.05845211900889697,0.014636946331196785,0.06007844637902995,0.08523868745814599,0.07815938008227304,0.13402850856213527,0.03817086004017985,0.17296469912943652,0.12034822538984023,0.04936381899933034
half-orc,0.1936123784963301,0.046220987899226344,0.02836738742313033,0.33902003570720096,0.05395754810553462,0.04860146796270581,0.08470541559214441,0.04205514778813727,0.056338028169014086,0.03947629438603452,0.024995040666534418,0.042650267804007144
tiefling,0.04963981663392272,0.10451866404715128,0.06758349705304519,0.02593320235756385,0.046234446627373936,0.03562540929927963,0.061951538965291424,0.2865749836280288,0.040471512770137524,0.10556647020301244,0.13909626719056975,0.036804191224623445
